Date,Capital Committed,Unfunded Commitment,Paid-in Capital/Capital Drawn,Total Capital Distributed,Reported Market Value,Net IRR,Count
12/31/2000,317159168.0,112662564.0,204496604.0,81939533.0,175665870.0,-0.06844666666666667,15
12/31/2001,420278211.0,148265526.0,272012685.0,121536150.0,165674690.0,-0.149335,20
12/31/2002,444036933.0,119769244.0,304267689.0,134087924.0,158713592.0,0.35300952380952383,21
12/31/2003,537203697.0,170789991.0,346413706.0,166459448.0,186282047.0,0.10010400000000001,25
12/31/2004,625376710.0,222947810.0,402428900.0,237835258.0,223540581.0,0.0429448275862069,29
12/31/2005,915374357.0,414698629.0,500675728.0,318436891.0,281959871.0,0.07334594594594594,37
12/31/2006,1268646323.0,591215330.0,677430993.0,441099680.0,407774714.0,0.08325652173913042,46
12/31/2007,1444992724.0,533779555.0,911213169.0,548769372.0,615045255.0,0.07911568627450981,51
12/31/2008,1606183736.0,478247376.0,1127936360.0,596286270.0,607902626.0,-0.0829578947368421,57
12/31/2009,1676171143.0,403860905.0,1272310238.0,676158726.0,769582095.0,0.03736333333333333,60
12/31/2010,1607736823.0,377787637.0,1229949186.0,571862163.0,945300740.0,0.06343888888888889,54
12/31/2011,1717668597.0,394731751.0,1322936846.0,599664139.0,996677530.0,0.0006252857142857143,56
12/31/2012,1727954411.0,292342036.0,1435612375.0,760841683.0,1080956340.0,0.09875535714285713,56
12/31/2013,1859146139.0,378810092.0,1480336047.0,933889421.0,1074424499.0,0.10023559322033898,59
12/31/2014,2041245374.0,426270100.0,1614975274.0,1179749836.0,1054123731.0,0.09429682539682539,63
12/31/2015,2134683941.0,469067842.0,1665616099.0,1286377129.0,962271784.0,0.0608,62
12/31/2016,2143538011.0,462834130.0,1680703881.0,1305995683.0,978253203.0,0.07964333333333333,60
12/31/2017,2358338105.0,318869017.0,1719366736.0,1358472992.0,1088385247.0,0.11169076923076923,65
12/31/2018,2271566169.0,824563790.0,1672455819.0,1336943057.0,1047361438.0,0.11748983050847457,59
12/31/2019,2335424892.0,787702116.0,1792149852.0,1412245168.0,1152653784.0,0.12068448275862069,58
12/31/2020,2355660541.0,864444061.0,1699078239.0,1180974855.0,1390297082.0,0.15822545454545456,55
12/31/2021,2457281625.0,836645513.0,1869358834.0,1467876397.0,1739006363.0,0.27857719298245615,57
3/31/2000,366116230.0,215164574.0,150951656.0,64106423.0,143221778.0,0.06384615384615386,13
3/31/2001,324555980.0,105171087.0,219384893.0,94116414.0,164411631.0,-0.10785333333333334,15
3/31/2002,421180711.0,135046489.0,286134222.0,122289057.0,176318324.0,-0.13487,20
3/31/2003,444036933.0,126214755.0,317822178.0,136235815.0,169981287.0,0.29361428571428566,21
3/31/2004,557417797.0,194998718.0,362419079.0,177751060.0,198947935.0,0.04023461538461538,26
3/31/2005,628297520.0,205786851.0,422510669.0,255428505.0,226738793.0,0.024055172413793104,29
3/31/2006,916646823.0,369262039.0,547384784.0,339627344.0,330028106.0,0.043721621621621624,37
3/31/2007,1328917055.0,606494979.0,722422076.0,473358949.0,434759920.0,0.0758326530612245,49
3/31/2008,1487937341.0,509336551.0,978600790.0,566609594.0,661003114.0,0.06372830188679246,53
3/31/2009,1604553811.0,452782689.0,1151771122.0,613077498.0,592471344.0,-0.07719298245614035,57
3/31/2010,1546483070.0,414632021.0,1131851049.0,519026080.0,790289476.0,0.0499326923076923,52
3/31/2011,1608884114.0,340999816.0,1267884298.0,614365400.0,972685805.0,0.07385,54
3/31/2012,1718131987.0,357114638.0,1361017349.0,623583726.0,1069724362.0,0.07139107142857143,56
3/31/2013,1727576680.0,269101321.0,1458475359.0,822823443.0,1075048667.0,0.09946071428571428,56
3/31/2014,1835151183.0,326551622.0,1508599561.0,983525088.0,1082611024.0,0.09757241379310345,58
3/31/2015,2082301921.0,482691982.0,1599609939.0,1161984195.0,1039642660.0,0.08306129032258064,62
3/31/2016,2183037443.0,519531633.0,1663505810.0,1235901466.0,957702040.0,0.05281451612903226,62
3/31/2017,2150595726.0,303479972.0,1697115754.0,1335213596.0,973333161.0,0.09612666666666667,60
3/31/2018,2217173106.0,810154377.0,1630778163.0,1293996075.0,1062273956.0,0.11404098360655737,61
3/31/2019,2324722302.0,812516793.0,1743990066.0,1392375812.0,1108316691.0,0.12359,60
3/31/2020,2138847773.0,745237638.0,1575719154.0,1120908066.0,972784593.0,0.047625,52
3/31/2021,2324811757.0,872107197.0,1657840677.0,1149347113.0,1478893400.0,0.2416462962962963,54
3/31/2022,2504151275.0,864106915.0,1889955275.0,1525408242.0,1661086901.0,0.24335087719298246,57
6/3/2018,2255054703.0,775033369.0,1708684008.0,1386440636.0,1118801414.0,0.11221612903225806,62
6/30/2000,278840715.0,102310103.0,176530612.0,60529076.0,171403003.0,0.04121428571428572,14
6/30/2001,343692644.0,112359769.0,231332875.0,103221089.0,165577794.0,-0.17748124999999998,16
6/30/2002,421180711.0,132135437.0,289045274.0,126281262.0,162942073.0,-0.14008,20
6/30/2003,448459292.0,125811405.0,322647887.0,142621795.0,163887552.0,0.18781428571428574,21
6/30/2004,559568197.0,181420082.0,378148115.0,205415693.0,197105360.0,0.037919230769230775,26
6/30/2005,661226453.0,210472892.0,450753561.0,281630163.0,250496143.0,0.06718333333333333,30
6/30/2006,959372452.0,381200729.0,578171723.0,368720034.0,335926168.0,0.03137631578947368,38
6/30/2007,1396168161.0,603037174.0,793130987.0,509340649.0,494865627.0,0.07970196078431373,51
6/30/2008,1574993367.0,537852226.0,1037141141.0,573967103.0,718356012.0,0.05789464285714286,56
6/30/2009,1671622102.0,459717909.0,1211904193.0,626072763.0,674065139.0,-0.04696166666666667,60
6/30/2010,1610152910.0,436949256.0,1173203654.0,550882263.0,813715883.0,0.036172222222222224,54
6/30/2011,1649355459.0,354654046.0,1294701413.0,658516844.0,988526489.0,0.0009436363636363636,55
6/30/2012,1742346210.0,371289540.0,1371056670.0,653321452.0,1050190175.0,0.05946666666666667,57
6/30/2013,1777768415.0,327475988.0,1450292427.0,841077363.0,1042726219.0,0.09672105263157894,57
6/30/2014,1884823752.0,345589883.0,1539233869.0,1045803748.0,1099069619.0,0.09336949152542373,59
6/30/2015,2130099738.0,493943898.0,1636155840.0,1245844400.0,1033989825.0,0.08598253968253969,63
6/30/2016,2181753260.0,468109390.0,1713643870.0,1296295867.0,955872909.0,0.0555483870967742,62
6/30/2017,2220748075.0,315457894.0,1657714979.0,1284217802.0,994671276.0,0.10052622950819673,61
6/30/2019,2367236255.0,894200609.0,1714186001.0,1368254701.0,1086541109.0,0.1169135593220339,59
6/30/2020,2335488570.0,870168075.0,1663843487.0,1125142622.0,1147731466.0,0.0965875,56
6/30/2021,2344996841.0,858949901.0,1697995442.0,1157533017.0,1654880289.0,0.25056545454545454,55
6/30/2022,2925639974.0,1233115861.0,1944992592.0,1565099110.0,1605140445.0,0.17369516129032259,62
9/30/2000,285749561.0,90332145.0,195417416.0,63555573.0,192865676.0,0.038842857142857144,14
9/30/2001,396852834.0,151627381.0,245225453.0,110562530.0,154220109.0,-0.19999999999999998,19
9/30/2002,423011507.0,125839744.0,297171763.0,132342905.0,161809309.0,0.30227,20
9/30/2003,496999158.0,162082523.0,334916635.0,147782707.0,174754992.0,0.12358260869565217,23
9/30/2004,624811668.0,232723183.0,392088485.0,219055303.0,207439552.0,0.026541379310344837,29
9/30/2005,628772015.0,279941602.0,348830413.0,202004600.0,233679761.0,0.07506774193548386,31
9/30/2006,1084576069.0,473293341.0,611282728.0,393384255.0,342612978.0,0.02974878048780488,41
9/30/2007,1396823514.0,562117663.0,834705851.0,530953768.0,523725841.0,0.085478,50
9/30/2008,1566280018.0,480551390.0,1085728628.0,590049732.0,686904865.0,-0.005132142857142857,56
9/30/2009,1676745545.0,434668045.0,1242077500.0,647151320.0,726807872.0,-0.015541666666666667,60
9/30/2010,1613067815.0,417519649.0,1195548166.0,540935616.0,876562890.0,0.06342777777777778,54
9/30/2011,1688218372.0,409413006.0,1278805366.0,574787407.0,939074458.0,0.04684,55
9/30/2012,1742560117.0,336878084.0,1405682033.0,696829106.0,1080599985.0,0.07736315789473684,57
9/30/2013,1843260386.0,369645355.0,1473615031.0,890282022.0,1049510335.0,0.09413050847457627,59
9/30/2014,1960018484.0,384939112.0,1575079372.0,1108270493.0,1063383814.0,0.09417704918032786,61
9/30/2015,2106192478.0,464513450.0,1641679028.0,1259447830.0,975577893.0,0.0708741935483871,62
9/30/2016,2192598119.0,484260384.0,1708337735.0,1314718671.0,989307957.0,0.07976290322580645,62
9/30/2017,2263993165.0,320094674.0,1704488647.0,1337661518.0,1020290111.0,0.09816129032258065,62
