Investment Name,Capital Committed,Unfunded Commitment,Paid-in Capital/Capital Drawn,Total Capital Distributed,Reported Market Value,Net IRR,Date,Capital Distributed Per Quarter
"Chisholm Partners IV, L.P.",25000000.0,17068716.0,7931284.0,3530.0,7504085.0,-0.09,2000-03-31,3530.0
"Chisholm Partners IV, L.P.",25000000.0,13219281.0,11780719.0,1721.0,12590794.0,0.1484,2000-06-30,-1809.0
"Chisholm Partners IV, L.P.",25000000.0,9665879.0,15334121.0,1721.0,19480333.0,0.4699,2000-09-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,9385743.0,15614257.0,480243.0,18168998.0,0.2344,2000-12-31,478522.0
"Chisholm Partners IV, L.P.",25000000.0,8646488.0,16353512.0,482051.0,18661104.0,0.1638,2001-03-31,1808.0
"Chisholm Partners IV, L.P.",25000000.0,8059199.0,16940801.0,482051.0,15658472.0,-0.0388,2001-06-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,7632830.0,17367170.0,482051.0,11897331.0,-0.21,2001-09-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,7017777.0,17982223.0,482051.0,10320414.0,-0.2778,2001-12-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,5700521.0,19299479.0,482051.0,11670314.0,-0.2415,2002-03-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,5350813.0,19649187.0,482051.0,11787643.0,-0.2214,2002-06-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,5113956.0,19886044.0,482051.0,12054240.0,-0.1966,2002-09-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,4627550.0,20372450.0,482051.0,12598382.0,-0.1758,2002-12-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,3234848.0,21765152.0,532871.0,12575234.0,-0.1963,2003-03-31,50820.0
"Chisholm Partners IV, L.P.",25000000.0,2773835.0,22226165.0,532871.0,12485333.0,-0.193,2003-06-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,2569065.0,22430935.0,532871.0,12648417.0,-0.1774,2003-09-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,2569065.0,22430935.0,532871.0,12462582.0,-0.1677,2003-12-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,2499222.0,22500778.0,532871.0,12415782.0,0.1581,2004-03-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,3168313.0,21831687.0,532871.0,11553191.0,-0.1516,2004-06-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,2966615.0,22033385.0,532871.0,11776298.0,-0.142,2004-09-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,2761951.0,22238049.0,2067401.0,11417498.0,-0.1172,2004-12-31,1534530.0
"Chisholm Partners IV, L.P.",25000000.0,2761951.0,22238049.0,2067401.0,11622745.0,-0.1083,2005-03-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,2685792.0,22314208.0,2599219.0,12111172.0,-0.0894,2005-06-30,531818.0
"Chisholm Partners IV, L.P.",25000000.0,2447806.0,22552194.0,2859932.0,12398662.0,-0.0813,2005-09-30,260713.0
"Chisholm Partners IV, L.P.",25000000.0,2447806.0,22552194.0,2859932.0,12822186.0,-0.0725,2005-12-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,2320533.0,22679467.0,4087204.0,12993217.0,-0.0549,2006-03-31,1227272.0
"Chisholm Partners IV, L.P.",25000000.0,2320533.0,22679467.0,4332659.0,12714639.0,-0.0533,2006-06-30,245455.0
"Chisholm Partners IV, L.P.",25000000.0,2170533.0,22829467.0,4332659.0,13844286.0,-0.0414,2006-09-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,2170533.0,22829467.0,4878113.0,13199316.0,-0.0409,2006-12-31,545454.0
"Chisholm Partners IV, L.P.",25000000.0,2025321.0,22974679.0,4878113.0,13339278.0,-0.0397,2007-03-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,2025321.0,22974679.0,4878113.0,13225732.0,-0.0395,2007-06-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,1876618.0,23123382.0,5941750.0,11883027.0,-0.0422,2007-09-30,1063637.0
"Chisholm Partners IV, L.P.",25000000.0,1876618.0,23123382.0,6951851.0,11163948.0,-0.0385,2007-12-31,1010101.0
"Chisholm Partners IV, L.P.",25000000.0,1763825.0,23236175.0,6951851.0,11395422.0,-0.0365,2008-03-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,1763825.0,23236175.0,6951851.0,11169794.0,-0.0375,2008-06-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,1634366.0,23365634.0,6951851.0,10494728.0,-0.0435,2008-09-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,1634366.0,23365634.0,6951851.0,9832809.0,-0.0483,2008-12-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,1550000.0,23450000.0,6951851.0,9374462.0,-0.052,2009-03-31,0.0
"Chisholm Partners IV, L.P.",25000000.0,1550000.0,23450000.0,6951851.0,9753726.0,-0.0476,2009-06-30,0.0
"Chisholm Partners IV, L.P.",25000000.0,1413947.0,23586053.0,6951851.0,10069463.0,-0.045,2009-09-30,0.0
